"","minG","firstQG","medianG","meanG","thirdQG","maxG","stdG","stringAssignValues","fit_estimate","fit_sd","theoretical_mean","theoretical_std","p.value"
"enc_1234",870.616171465013,1978.39728636784,2073.79094984442,2071.44286829884,2169.43511265799,2740.14619733161,148.589325025578," 1 ,  2 ,  3 ,  4 , ",-0.54595716844214,47.6288041432444,2082.7520591285,77.8175741079179,1.44834499695213e-95
"enc_1243",861.689919629979,1942.35693471621,2053.66117622515,2042.12045513545,2155.37632919842,2883.73241764907,161.729489255993," 1 ,  2 ,  4 ,  3 , ",-1.989677146168,51.8838482769196,2082.7520591285,77.8175741079179,0
"enc_1423",867.142842545911,1932.59007723728,2039.77088607909,2038.19492983584,2145.92426056177,2736.50997820982,150.129698152259," 1 ,  4 ,  2 ,  3 , ",-2.18610735609333,48.1661474117833,2082.7520591285,77.8175741079179,0
"enc_4123",1342.21600854051,2039.29696471257,2153.11799057274,2156.55149094017,2274.49770261808,3291.26726584505,170.538497383587," 4 ,  1 ,  2 ,  3 , ",3.42210385987525,54.3692435284315,2082.7520591285,77.8175741079179,0
"enc_4132",1428.99414004719,2019.53750348472,2125.60461217078,2127.22907777677,2232.78081719937,3298.3612757111,150.134964406866," 4 ,  1 ,  3 ,  2 , ",2.09084292392025,48.1679655776318,2082.7520591285,77.8175741079179,0
"enc_1432",874.23685241196,1890.83973957255,2012.28781797321,2008.87251667245,2126.12647373472,2823.2881097165,170.53253313508," 1 ,  4 ,  3 ,  2 , ",-3.67766206381426,54.3676476266633,2082.7520591285,77.8175741079179,0
"enc_1342",863.500260103452,1895.25681995908,2020.7777575829,2010.83527932226,2133.38708225045,2885.72746903685,174.468164569925," 1 ,  3 ,  4 ,  2 , ",-3.57646300250348,55.3970166286766,2082.7520591285,77.8175741079179,0
"enc_1324",867.835989726471,1982.93278308374,2073.33695798102,2069.48010564904,2157.38365167109,2805.08986055152,140.780260245435," 1 ,  3 ,  2 ,  4 , ",-0.641318244289381,44.7237799562881,2082.7520591285,77.8175741079179,4.83988379654347e-141
"enc_3124",1319.82623352945,2029.99495473738,2141.7422352566,2148.38447971859,2265.65710495821,2947.46645344924,168.426163575546," 3 ,  1 ,  2 ,  4 , ",3.05496624136288,53.7969607694163,2082.7520591285,77.8175741079179,0
"enc_3142",1417.33367981005,1998.78549837097,2090.90183277017,2089.73965339181,2181.15944926065,2820.29006705407,146.766405648444," 3 ,  1 ,  4 ,  2 , ",0.334376306252279,46.9783251231363,2082.7520591285,77.8175741079179,8.99542169389827e-34
"enc_3412",1284.70698090557,1999.85282337051,2081.37147883242,2083.85136544239,2164.08758869539,2787.70312023801,154.27658911976," 3 ,  4 ,  1 ,  2 , ",0.0527535856018937,49.5594199512871,2082.7520591285,77.8175741079179,0.157162822674323
"enc_4312",1281.77170060794,2010.05318556652,2111.77168854969,2123.30355247716,2223.09335661304,3303.81419862703,161.738032793298," 4 ,  3 ,  1 ,  2 , ",1.90983024077502,51.8863899310385,2082.7520591285,77.8175741079179,0
"enc_4321",1425.3579209254,1996.06900559902,2091.61850384264,2093.98113931377,2186.9514832212,3294.887946792,148.597099925188," 4 ,  3 ,  2 ,  1 , ",0.536255077681748,47.6315443097109,2082.7520591285,77.8175741079179,2.3408735344812e-85
"enc_3421",1311.28626693799,1953.47450146875,2060.31311053039,2054.528952279,2162.71132226906,2797.84335774801,155.193222099477," 3 ,  4 ,  2 ,  1 , ",-1.37370207502793,49.857342106412,2082.7520591285,77.8175741079179,0
"enc_3241",1288.97258854265,1950.51122171482,2062.35364207774,2058.45447757861,2163.00233240552,2799.71248892185,147.226924136818," 3 ,  2 ,  4 ,  1 , ",-1.180379834218,47.144174282239,2082.7520591285,77.8175741079179,0
"enc_3214",1267.90002034239,2030.14386642089,2145.51993385121,2146.42171706878,2262.62614353568,2926.64340159206,167.985391345234," 3 ,  2 ,  1 ,  4 , ",2.96631633168649,53.6757298904346,2082.7520591285,77.8175741079179,0
"enc_2314",1365.79162933515,2002.42310581031,2103.0939259879,2106.96953003401,2214.87739965236,2876.53152971436,147.227185160771," 2 ,  3 ,  1 ,  4 , ",1.1493982499648,47.1442679920831,2082.7520591285,77.8175741079179,0
"enc_2341",1238.86071666495,1902.86383329194,2019.9427467249,2019.00229054383,2135.24931924092,2897.60409791462,167.981575413259," 2 ,  3 ,  4 ,  1 , ",-3.15748867067894,53.6746775710768,2082.7520591285,77.8175741079179,0
"enc_2431",1218.03766480777,1899.82241167919,2023.68200210411,2017.03952789403,2135.37738675926,2845.67788472756,168.424112564161," 2 ,  4 ,  3 ,  1 , ",-3.25787027600222,53.7963981245666,2082.7520591285,77.8175741079179,0
"enc_4231",1360.41425770549,2008.05842374441,2092.08326800148,2095.94390196358,2182.45681848687,3297.66812853054,140.786366975116," 4 ,  2 ,  3 ,  1 , ",0.629398660084123,44.7261776098455,2082.7520591285,77.8175741079179,4.92001658026234e-128
"enc_4213",1279.77664922016,2031.97414903481,2144.72636067411,2154.58872829036,2270.19722343337,3302.00385815356,174.475688346895," 4 ,  2 ,  1 ,  3 , ",3.33412443027384,55.3989400078147,2082.7520591285,77.8175741079179,0
"enc_2413",1345.21405120294,1984.26782702777,2074.54349501663,2075.68435422081,2166.64662306602,2748.17043844696,146.767138241694," 2 ,  4 ,  1 ,  3 , ",-0.340499984659114,46.9785897826615,2082.7520591285,77.8175741079179,2.70612103595177e-40
"enc_2143",1377.800998019,2001.41652956162,2084.05663849985,2081.57264217023,2165.59840234968,2880.79713735144,154.271538402589," 2 ,  1 ,  4 ,  3 , ",-0.0566598990774601,49.5577685701804,2082.7520591285,77.8175741079179,0.0109133873932602
"enc_2134",1367.660760509,2002.72737224384,2105.17468209842,2110.89505533362,2211.95964760985,2854.21785131902,155.189660604416," 2 ,  1 ,  3 ,  4 , ",1.33322573919552,49.8561913671957,2082.7520591285,77.8175741079179,0
