"","minG","firstQG","medianG","meanG","thirdQG","maxG","stdG","stringAssignValues","fit_estimate","fit_sd","theoretical_mean","theoretical_std","p.value"
"enc_4312",1759.31955036777,2029.90165351584,2082.749083329,2082.46505013505,2135.0607442438,2431.74477333746,77.8697566919331," 4 ,  3 ,  1 ,  2 , ",-0.0137821757650088,0.0664574576252018,2082.7520591285,77.8175741079179,0.928682020127497
"enc_4321",1738.17066733743,2029.80051803239,2082.57879657891,2082.57034011442,2135.56645200862,2396.928632953,78.0165912424512," 4 ,  3 ,  2 ,  1 , ",-0.00872570835091073,0.254541768503168,2082.7520591285,77.8175741079179,0.706668887368906
"enc_3421",1760.8669577495,2030.12248005691,2082.8254912847,2082.89058183279,2135.58944681756,2401.98781164338,77.9667916201032," 3 ,  4 ,  2 ,  1 , ",0.00665050317541219,0.190831488169244,2082.7520591285,77.8175741079179,0.211522572589456
"enc_3241",1775.40844135903,2030.1880888523,2082.69624578426,2082.74987323838,2135.10699896279,2428.41594358728,77.6326624535643," 3 ,  2 ,  4 ,  1 , ",-0.000104952118892801,-0.238744842640623,2082.7520591285,77.8175741079179,0.385557456004383
"enc_3214",1761.07823295472,2029.9265792359,2082.32170165266,2082.43400330026,2134.73782352004,2396.70891830106,77.3925974961178," 3 ,  2 ,  1 ,  4 , ",-0.0152732728979311,-0.549676518197099,2082.7520591285,77.8175741079179,0.99614189935203
"enc_2314",1737.08817466973,2030.39711929422,2082.80787247275,2082.75424501863,2135.31602940471,2390.09567689797,77.6326624535643," 2 ,  3 ,  1 ,  4 , ",0.000104951898572484,-0.238744842640623,2082.7520591285,77.8175741079179,0.379051870448678
"enc_2341",1768.79519995595,2030.76629473697,2083.18241660435,2083.07011495675,2135.57753902111,2404.42588530229,77.3925974961178," 2 ,  3 ,  4 ,  1 , ",0.0152686088653316,-0.549676518197099,2082.7520591285,77.8175741079179,0.0809486780592421
"enc_2431",1763.29590202018,2030.66920527781,2083.10055530882,2083.14046925395,2136.01707950656,2475.04396725371,77.5329489401008," 2 ,  4 ,  3 ,  1 , ",0.0186454121159762,-0.367659808085179,2082.7520591285,77.8175741079179,0.0528747531507523
"enc_4231",1761.88323440948,2030.14561916007,2082.44640441491,2082.49998581722,2135.02700669705,2450.09582533917,77.8225045686679," 4 ,  2 ,  3 ,  1 , ",-0.0121043607683969,0.00577999553740919,2082.7520591285,77.8175741079179,0.853347389304487
"enc_4213",1755.68702089924,2029.91040418124,2082.30468985225,2082.28940585847,2134.80067375837,2424.68839195743,77.4353703618479," 4 ,  2 ,  1 ,  3 , ",-0.0222184903179206,-0.494136035949539,2082.7520591285,77.8175741079179,0.696040731462835
"enc_2413",1752.73553941718,2030.37798540407,2082.93670600846,2082.92988929521,2135.16625702825,2389.44888085203,77.784931425731," 2 ,  4 ,  1 ,  3 , ",0.00853750131554508,-0.0425210963608109,2082.7520591285,77.8175741079179,0.174424026335001
"enc_2143",1751.24558948021,2029.83265194224,2082.71220331386,2082.71882640359,2134.77847952121,2414.31023992367,77.9791116175162," 2 ,  1 ,  4 ,  3 , ",-0.00159564145148934,0.206600437986081,2082.7520591285,77.8175741079179,0.434716384737065
"enc_2134",1763.51630661362,2029.91467143945,2082.67862697231,2082.61353642422,2135.3816382001,2404.63716050751,77.9667916201032," 2 ,  1 ,  3 ,  4 , ",-0.00665138787693612,0.190831488169244,2082.7520591285,77.8175741079179,0.621163660387849
